,spot_price,current_time,strike_price,best_bid,best_offer,ticker,market_price
180,14376.08984375,0.2410958904109589,15700.0,156.6,161.5,NDX,159.05
181,14654.330078125,0.2383561643835616,15700.0,226.4,232.1,NDX,229.25
182,14447.5498046875,0.2356164383561644,15700.0,183.3,188.4,NDX,185.85000000000002
183,14765.6904296875,0.2328767123287671,15700.0,261.1,265.8,NDX,263.45000000000005
184,14754.3095703125,0.2301369863013698,15700.0,244.1,249.0,NDX,246.55
185,14987.400390625,0.2219178082191781,15700.0,318.3,324.3,NDX,321.3
186,15239.3203125,0.2191780821917808,15700.0,409.8,416.5,NDX,413.15
187,15071.5498046875,0.2164383561643835,15700.0,342.2,348.0,NDX,345.1
188,14838.490234375,0.2136986301369863,15700.0,279.6,287.4,NDX,283.5
189,14861.2099609375,0.210958904109589,15700.0,251.3,255.8,NDX,253.55
190,15159.580078125,0.2027397260273972,15700.0,337.0,341.7,NDX,339.35
191,14820.6396484375,0.2,15700.0,235.6,240.4,NDX,238.0
192,14498.8798828125,0.1972602739726027,15700.0,156.8,161.0,NDX,158.9
193,14531.8095703125,0.1945205479452054,15700.0,158.4,162.4,NDX,160.4
194,14327.259765625,0.1917808219178082,15700.0,105.3,107.6,NDX,106.44999999999999
195,13990.2099609375,0.1835616438356164,15700.0,67.7,70.2,NDX,68.95
196,13940.240234375,0.1808219178082191,15700.0,58.9,61.2,NDX,60.05
197,14217.2900390625,0.1780821917808219,15700.0,68.6,70.6,NDX,69.6
198,13893.2099609375,0.1753424657534246,15700.0,41.8,44.0,NDX,42.9
199,13910.759765625,0.1643835616438356,15700.0,39.0,41.0,NDX,40.0
200,14210.259765625,0.1616438356164383,15700.0,59.1,62.4,NDX,60.75
201,13998.5302734375,0.1589041095890411,15700.0,40.8,42.8,NDX,41.8
202,13720.4501953125,0.1561643835616438,15700.0,28.1,30.2,NDX,29.15
203,13356.8701171875,0.1534246575342465,15700.0,19.0,22.1,NDX,20.55
204,13533.2197265625,0.1452054794520547,15700.0,21.5,23.0,NDX,22.25
205,13009.7099609375,0.1424657534246575,15700.0,13.3,15.1,NDX,14.2
206,13003.3603515625,0.1397260273972602,15700.0,9.6,13.0,NDX,11.3
207,13456.0595703125,0.136986301369863,15700.0,17.5,20.2,NDX,18.85
208,12854.7998046875,0.1342465753424657,15700.0,9.5,11.9,NDX,10.7
209,13075.849609375,0.1260273972602739,15700.0,11.5,14.0,NDX,12.75
210,13089.900390625,0.1232876712328767,15700.0,10.6,12.3,NDX,11.45
211,13535.7099609375,0.1205479452054794,15700.0,11.7,18.8,NDX,15.25
212,12850.5498046875,0.1178082191780822,15700.0,8.1,10.7,NDX,9.399999999999999
213,12693.5302734375,0.1150684931506849,15700.0,5.8,7.3,NDX,6.55
214,12187.7197265625,0.1068493150684931,15700.0,4.2,6.2,NDX,5.2
215,12345.8603515625,0.1041095890410958,15700.0,4.6,5.6,NDX,5.1
216,11945.5,0.0986301369863013,15700.0,2.15,3.8,NDX,2.9749999999999996
217,12243.580078125,0.0876712328767123,15700.0,1.6,2.6,NDX,2.1
218,12564.099609375,0.084931506849315,15700.0,1.85,3.0,NDX,2.425
219,11928.3095703125,0.0821917808219178,15700.0,1.1,2.0,NDX,1.55
220,11875.6298828125,0.0794520547945205,15700.0,0.55,1.45,NDX,1.0
